new_num,new_dir,new_street,old_num,old_dir,old_street,duplicate
1217,w,Carmen,1107,w,Carmen,
1221,w,Carmen,1103,w,Carmen,
1225,w,Carmen,1097,w,Carmen,
1229,w,Carmen,1095,w,Carmen,
1233,w,Carmen,1091,w,Carmen,
1237,w,Carmen,1080,w,Carmen,
1241,w,Carmen,1083,w,Carmen,
1245,w,Carmen,1079,w,Carmen,
1249,w,Carmen,1075,w,Carmen,
1253,w,Carmen,1071,w,Carmen,
1257,w,Carmen,1067,w,Carmen,
1261,w,Carmen,1063,w,Carmen,
1263,w,Carmen,1061,w,Carmen,
1212,w,Carmen,1112,w,Carmen,
1216,w,Carmen,1110,w,Carmen,
1218,w,Carmen,1108,w,Carmen,
1220,w,Carmen,1106,w,Carmen,
1222,w,Carmen,1104,w,Carmen,
1226,w,Carmen,1098,w,Carmen,
1230,w,Carmen,1094,w,Carmen,
1234,w,Carmen,1090,w,Carmen,
1236,w,Carmen,1088,w,Carmen,
1244,w,Carmen,1080,w,Carmen,
1248,w,Carmen,1076,w,Carmen,
1252,w,Carmen,1072,w,Carmen,
1256,w,Carmen,1068,w,Carmen,
1301,w,Carmen,1059,w,Carmen,
1305,w,Carmen,1055,w,Carmen,
1309,w,Carmen,1051,w,Carmen,
1313,w,Carmen,1047,w,Carmen,
1317,w,Carmen,1043,w,Carmen,
1321,w,Carmen,1039,w,Carmen,
1325,w,Carmen,1035,w,Carmen,
1333,w,Carmen,1027,w,Carmen,
1339,w,Carmen,1023,w,Carmen,
1353,w,Carmen,1003,w,Carmen,
1359,w,Carmen,n/a,w,Carmen,
1425,w,Carmen,965,w,Carmen,
1431,w,Carmen,957,w,Carmen,
1441,w,Carmen,947,w,Carmen,
1445,w,Carmen,943,w,Carmen,
1451,w,Carmen,937,w,Carmen,
1455,w,Carmen,933,w,Carmen,
1459,w,Carmen,929,w,Carmen,
1461,w,Carmen,927,w,Carmen,
1465,w,Carmen,923,w,Carmen,
1615,w,Carmen,743,w,Carmen,
1619,w,Carmen,737,w,Carmen,
1623,w,Carmen,735,w,Carmen,
1625,w,Carmen,733,w,Carmen,
1627,w,Carmen,731,w,Carmen,
1637,w,Carmen,721,w,Carmen,*two old num
1639,w,Carmen,721,w,Carmen,*two old num
1641,w,Carmen,717,w,Carmen,
1643,w,Carmen,715,w,Carmen,
1647,w,Carmen,711,w,Carmen,
1653,w,Carmen,707,w,Carmen,
1655,w,Carmen,705,w,Carmen,
1657,w,Carmen,701,w,Carmen,
1661,w,Carmen,663,w,Carmen,
1725,w,Carmen,633,w,Carmen,
1727,w,Carmen,631,w,Carmen,
1729,w,Carmen,629,w,Carmen,
1731,w,Carmen,625,w,Carmen,
1735,w,Carmen,623,w,Carmen,
1737,w,Carmen,621,w,Carmen,
1741,w,Carmen,617,w,Carmen,
1743,w,Carmen,615,w,Carmen,
1747,w,Carmen,611,w,Carmen,
1749,w,Carmen,607,w,Carmen,
1751,w,Carmen,605,w,Carmen,
1755,w,Carmen,601,w,Carmen,
2415,w,Carmen,16w,w,Carmen,
2419,w,Carmen,18w,w,Carmen,
2421,w,Carmen,20w,w,Carmen,
2423,w,Carmen,24w,w,Carmen,
2425,w,Carmen,26w,w,Carmen,
2429,w,Carmen,30w,w,Carmen,
2431,w,Carmen,32w,w,Carmen,
2433,w,Carmen,34w,w,Carmen,
2435,w,Carmen,36w,w,Carmen,
2439,w,Carmen,40w,w,Carmen,
2513,w,Carmen,94w,w,Carmen,
2517,w,Carmen,98w,w,Carmen,
2523,w,Carmen,104w,w,Carmen,
2541,w,Carmen,118w,w,Carmen,
4853,w,Carmen,1644w,w,Carmen,
5113,w,Carmen,1794w,w,Carmen,
5119,w,Carmen,1800w,w,Carmen,
5127,w,Carmen,1810w,w,Carmen,
5129,w,Carmen,1812w,w,Carmen,
5145,w,Carmen,1828w,w,Carmen,
5203,w,Carmen,1850w,w,Carmen,
5223,w,Carmen,1870w,w,Carmen,
5229,w,Carmen,1876w,w,Carmen,
5233,w,Carmen,1882w,w,Carmen,
5241,w,Carmen,1890w,w,Carmen,
5249,w,Carmen,1898w,w,Carmen,
5257,w,Carmen,1904w,w,Carmen,
5333,w,Carmen,1948w,w,Carmen,
5337,w,Carmen,1950w,w,Carmen,
5417,w,Carmen,2002w,w,Carmen,
5423,w,Carmen,2008w,w,Carmen,
5425,w,Carmen,2010w,w,Carmen,
1260,w,Carmen,1064,w,Carmen,*two old num
1262,w,Carmen,1064,w,Carmen,*two old num
1304,w,Carmen,1056,w,Carmen,
1310,w,Carmen,1052,w,Carmen,
1314,w,Carmen,1048,w,Carmen,
1316,w,Carmen,1042,w,Carmen,
1320,w,Carmen,1040,w,Carmen,
1324,w,Carmen,1036,w,Carmen,
1328,w,Carmen,1032,w,Carmen,
1332,w,Carmen,1028,w,Carmen,
1338,w,Carmen,1024,w,Carmen,
1342,w,Carmen,1020,w,Carmen,
1344,w,Carmen,1014,w,Carmen,
1348,w,Carmen,1012,w,Carmen,
1352,w,Carmen,1008,w,Carmen,
